"#","Establishment Name","Training Course","Min. Qualification for Course","Training Duration (Months)","Prescribed Min. Stipend (Monthly)","No. of Vacancies","Training Location (District)"
"832","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Stenographer (Hindi)","12th","12 months","₹ 8000","9","MORENA (MORENA)"
"833","BESTECH HOSPITALITIES PRIVATE LIMITED","Steward","12th","12 months","₹ 8000","9","INDORE (INDORE)"
"834","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Computer Operator and Programming Assistant","12th","12 months","₹ 8000","9","MORENA (MORENA)"
"835","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Computer Operator and Programming Assistant","12th","12 months","₹ 8000","9","HOSHANGABAD (HOSHANGABAD)"
"836","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Electrician","12th","12 months","₹ 8000","8","Shahdol (SHAHDOL)"
"837","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Electrical Engineering","Diploma (Engineering)","12 months","₹ 9000","8","City Circle Indore (INDORE)"
"838","MARAL OVERSEAS LIMITED","Draw Frame Operator | V 3.0","12th","12 months","₹ 8000","8","KHALBUJURG (KHARGONE)"
"839","BADE BABA COMPUTER","Domestic Data Entry Operator_V2","12th","12 months","₹ 8000","8","bamore kalan (SHIVPURI)"
"840","BUREAU VERITAS INDIA PRIVATE LIMITED","Civil Engineering","Diploma (Engineering)","12 months","₹ 9000","8","Ratlam (RATLAM)"
"841","MADHYA PRADESH POWER GENERATING COMPANY LIMITED","Civil Engineering","Diploma (Engineering)","12 months","₹ 9000","8","jabalpur (JABALPUR)"
"842","MADHYA PRADESH POWER GENERATING COMPANY LIMITED","Civil Engineering","Diploma (Engineering)","12 months","₹ 9000","8","SARNI  (BETUL)"
"843","AJAY BHANDARI ASSOCIATES LLP","General Duty Assistant- Advanced","12th","12 months","₹ 8000","8","NAPIER TOWN (JABALPUR)"
"844","SUNNY VISTA HOTEL PRIVATE LIMITED","Guest Service Associate (Housekeeping) v 2.0","12th","12 months","₹ 8000","8","Guna (GUNA)"
"845","RAM SURAKSHA SECURITY SERVICES AND MANAGEMENT PRIVATE LIMITED","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","8","Jabalpur (JABALPUR)"
"846","PATEL ENGINEERING LIMITED","Helper Electrician","12th","12 months","₹ 8000","8","KATNI (KATNI)"
"847","BCITS PRIVATE LIMITED","Electrician","12th","12 months","₹ 8000","8","INDORE (INDORE)"
"848","BIRLA CABLE LIMITED","Electrician (Steel Plant)","12th","12 months","₹ 8000","8","REWA (REWA)"
"849","ARIBA FOODS PRIVATE LIMITED","Food Sales Promoter","12th","12 months","₹ 8000","8","UJJAIN (UJJAIN)"
"850","EFFOTEL HOTEL","Food & Beverage Service Assistant V 2.0","12th","12 months","₹ 8000","8","Indore (INDORE)"
"851","PAPAYA TREE HOTELS AND RESORTS LLP","Food & Beverage Service Assistant V 2.0","12th","12 months","₹ 8000","8","RAU (INDORE)"
"852","LARSEN & TOUBRO LIMITED","Construction Fitter","12th","12 months","₹ 8000","8","Sehore (SEHORE)"
"853","LARSEN & TOUBRO LIMITED","Construction Fitter","12th","12 months","₹ 8000","8","Shahjapur (SHAJAPUR)"
"854","TATA PROJECTS LIMITED","Construction Fitter","12th","12 months","₹ 8000","8","SAGAR BINA (SAGAR)"
"855","LARSEN & TOUBRO LIMITED","Construction Electrician - LV","12th","12 months","₹ 8000","8","Nalkheda (AGAR MALWA)"
"856","ASHTVINAYAK LEISURE PRIVATE LIMITED","Commis Chef V 2.0","12th","12 months","₹ 8000","8","INDORE (INDORE)"
"857","SPM AUTOCOMP SYSTEMS PRIVATE LIMITED","CNC Programmer cum Operator","12th","12 months","₹ 8000","8","Pithampur (DHAR)"
"858","TAURUS BPO SERVICES INDIA LLP","Customer Care Executive-Domestic- Voice_V3","12th","12 months","₹ 8000","8","INDORE (INDORE)"
"859","MADHYA PRADESH POWER GENERATING COMPANY LIMITED","Accounts Executive","Graduate(Non-Engineering)","12 months","₹ 10000","8","SARNI  (BETUL)"
"860","LARSEN & TOUBRO LIMITED","Assistant Electrician - 3","12th","12 months","₹ 8000","8","Jirapur (RAJGARH)"
"861","VIKRAN ENGINEERING & EXIM PRIVATE LIMITED","Assistant Mason","12th","12 months","₹ 8000","8","betul (BETUL)"
"862","ULTRA TECH SUSPENSIONS PRIVATE LIMTED","Automotive Machining Operator","12th","12 months","₹ 8000","8","Pune (PUNE)"
"863","PORWAL AUTO COMPONENTS LIMITED","Automotive Machining Operator","12th","12 months","₹ 8000","8","PITHAMPUR (DHAR)"
"864","BHAGAWATI ELITE MOTORS","Automotive Sales Assistant","12th","06 months","₹ 8000","8","Indore (INDORE)"
"865","SANGAM SCOOTER PARTS","Automotive Showroom Host","12th","06 months","₹ 8000","8","INDORE (AGAR MALWA)"
"866","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Office Operations Executive(Back Office)","12th","12 months","₹ 8000","8","Shajapur Circle (SHAJAPUR)"
"867","NEW LIFE LABORATORIES    PVT LIMITED","Process Plant Operator","12th","12 months","₹ 8000","8","MANDIDEEP (RAISEN)"
"868","IPCA LABORATORIES LIMITED","Quality Assurance Assistant","12th","12 months","₹ 8000","8","Pithampur (DHAR)"
"869","MARVEL VINYLS LTD UNIT II","Safety and Fire Engineering","Graduate(Enginnering)","12 months","₹ 10000","8","MALANPUR  (BHIND)"
"870","ATHARVA PACKAGING PRIVATE LIMITED","Industrial and Production Engineering","Graduate(Enginnering)","12 months","₹ 10000","8","INDORE (INDORE)"
"871","SAINATH FACILITY SERVICES","House Keeper (Hospital)","12th","12 months","₹ 8000","8","Indore (INDORE)"
"872","GENEX HOTELS PRIVATE LIMITED","Kitchen Steward V 2.0","12th","12 months","₹ 8000","8","Bhopal (BHOPAL)"
"873","BUZZART SOFTWARE PRIVATE LIMITED","IT Support Executive","Graduate(Non-Engineering)","12 months","₹ 10000","8","Bhopal (BHOPAL)"
"874","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Lineman","12th","12 months","₹ 8000","8","DATIA (DATIA)"
"875","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Lineman","12th","12 months","₹ 8000","8","CHHINDWARA (CHHINDWARA)"
"876","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Lineman","12th","12 months","₹ 8000","8","REWA (REWA)"
"877","BIRLA CORPORATION LIMITED","Mining Engineering","Graduate(Enginnering)","12 months","₹ 10000","8","Satna (SATNA)"
"878","MID INDIA CREATIONS LLP","Multi-Purpose Associate v 1.0","12th","12 months","₹ 8000","8","Indore (INDORE)"
"879","SAGAR STONE INDUSTRIES","Mechanic Mining Machinery","12th","12 months","₹ 8000","8","Sihora (JABALPUR)"
"880","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Computer Operator and Programming Assistant","12th","12 months","₹ 8000","8","BHOPAL (BHOPAL)"
"881","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Computer Operator and Programming Assistant","12th","12 months","₹ 8000","8","SEHORE (SEHORE)"
"882","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Computer Operator and Programming Assistant","12th","12 months","₹ 8000","8","GWALIOR (GWALIOR)"
"883","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Computer Operator and Programming Assistant","12th","12 months","₹ 8000","8","SHIVPURI (SHIVPURI)"
"884","Pratap Digital Communications Private Limited","Process Plant Operator","12th","12 months","₹ 8000","8","pithampur (INDORE)"
"885","PUSPA MISSION HOSPITAL MADICALSHOP UNIT OF DIOCESE OF UJJAIN","Emergency Care Assistant","12th","12 months","₹ 8000","8","Ujjain (UJJAIN)"
"886","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Stenographer (Hindi)","12th","12 months","₹ 8000","8","SHIVPURI (SHIVPURI)"
